ID_Frucht;Fruchtart
102;Amarant
250;Blühmischung
195;Bokharaklee
208;Buchweizen
245;Deutsches Weidelgras, Welsches Weidelgras
182;Einj. Weidelgras
111;Erbse
112;Erbse, Hafer, Leindotter
115;Erbse, S.Gerste
116;Erbse, Senf, S.Gerste
180;Futterhirse
119;Gerstgras
120;Hafer
127;Kartoffeln
128;Kleegras
20;Landsberger Gemenge
187;Luzerne
139;Luzernegras
140;Luzerne-Klee-Gras
141;Mais
220;Mais, Sudangras
142;Mais/Sonnenblume
41;Ölrettich
25;Phacelia
185;Rotklee
145;S.Gerste
211;S.Raps
147;S.Roggen
148;S.Roggen S.Triticale
150;S.Triticale
151;S.Weizen
43;Senf
157;Sonnenblumen
160;Sudangras
161;Topinambur
163;W. Erbse, W. Roggen
233;W. Triticale, W. Erbse
164;W.Gerste
167;W.Gerste, W.Rübsen
169;W.Gerste, W.Triticale, W.Weizen
170;W.Raps
172;W.Roggen
222;W.Roggen, W.Triticale
173;W.Roggen, W.Wicken
175;W.Triticale
224;W.Triticale, W.Weizen
244;W.Triticale, W.Wicke
176;W.Weizen
177;W.Wicke
179;Welsches Weidelgras
181;Zuckerrüben
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
